card name,question,answer
"Abaddon Succubus","If I target an adjacent enemy already sharing a location with Abaddon Succubus, does it still take 2 damage and heal me 2?","Yes!"
"","If the targeted minion takes less than 2 damage (or no damage at all), do I still heal 2?","Yes!"
"Abundance","Does Abundance apply to my opponent's sites as well?","Yes, they will get the benefit as well, if your Abundance affects their sites!"
"","When do I get this extra mana?","Mana is added to a player's mana pool during their Start Phase, or when a site enters the realm under their control. So, any sites already in play won't get the extra mana until the start of your next turn. But, if you play Abundance and then play a site into Abundance's area of effect, the newly played site will generate extra mana immediately. Also, if you start your turn with a site in Abundance, and then during your Main Phase the site is no longer in Abundance (e.g. Cloud City moving away, Scorched Earth, etc.), you don't lose the mana that you gained during your Start Phase."
"","How much mana is generated by playing an Ordinary Tower (e.g. Lone Tower) into Abundance's effect?","3 mana, because 1 (a site entering the realm under your control) + 1 (Abundance) + 1 (Genesis effect) = 3."
"Abyssal Assault","Can I choose different squares for the damage?","Yes."
"","Is the damage dealt simultaneously?","Yes. For example, if you have a 5 power Monster, it will deal 1+1+1+1+1, all simultaneously. If you try dealing it to a warded unit, the Ward will prevent all of it. If your opponent has Shield Maidens nearby, each damage will be reduced. If you have Panpipes of Pnom, it will be 2+2+2+2+2 damage instead."
"Accusation","What does 'cards or allies' mean?","Cards in their hand, or allies in the realm."
"Adept Illusionist","What does 'shuffle if needed' mean?","If you searched your spellbook, shuffle it. If you end up summoning the extra Illusionist from your hand or cemetery, you may still have searched your spellbook if you wanted."
"Adtonitum","Does this ability work whenever Adtonitum moves, even if it's my opponent's turn?","Yes, this is a triggered ability, which can trigger on your opponent's turn as well, if Adtonitum moves."
"Aino","Can Aino step across the top and bottom edges of the realm if she already has Stealth?","Yes."
"Alabaster Box","Does this need to be carried to have an effect?","Yes, since 'you' or 'your' refers to the controller of the artifact, and carriable artifacts must be carried to be controlled."
"Algor Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"Altar of Malachai","Does my avatar still take the damage, but I just don't lose the game?","Correct! Damage is still dealt to your avatar for effects that care about dealing damage. You just don't lose the game as a result!"
"Amethyst Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Amulet of Niniane","What does 'can't be targeted or damaged by magic' mean?","Magic can't target the card and the card can't be damaged by Magic (even without targeting). The card can still be targeted by non-Magic effects."
"","Can Magic spells which cause an ally to target a unit (e.g. Shatter Strike) select the bearer of Amulet as the target?","Yes, because the ally is doing the targeting, not the Magic spell."
"Angel Ascendant","If a warded Angel Ascendant fights another minion, the ward will break when the strike happens. So does Angel Ascendant strike for 2 or 3?","It will strike for 3 (with the +1 power from Ward). If the opposing minion somehow struck first (perhaps via a Lance), then the ward would indeed break first and then the Angel Ascendant would only strike back for 2."
"Animist","If I cast a Magic as a Spirit minion, will Orb of Ba'al Berith copy it?","Good try, but no. You're casting it as a minion, so the game sees it as a Minion spell, not a Magic spell."
"","If I increase or decrease the cost of a magic while I cast it as a Spirit minion, how much power will it have in the realm?","Use the printed cost of the magic as its power, regardless of how much mana you actually spent to cast it. Note that magics with X as their cost work appropriately, based on the unmodified cost of the spell when you cast it."
"","If I cast a magic with X as its cost (e.g. Arcane Barrage) as a Spirit minion, will the minion retain the correct power?","Yes, because of the golden rule. If you pay 7 mana for your Arcane Barrage Spirit minion, it will have 7 power while in the realm."
"","If Selfsame Simulacrum is summoned as a basic copy of an animated magic, what happens?","'Basic copy' refers to the printed characteristics of the card, which means Selfsame will try to become a magic. But magics cannot exist in the realm, so Selfsame Simulacrum would immediately go to the cemetery and there would be no effect of the magic. Sorry!"
"","If I cast a magic as a Spirit minion, do I still get the effect of the magic?","No. Treat the textbox of the magic as entirely blank, though it retains its elements and rarity. For example, if you cast Craterize as Spirit minion, you do not need to discard a site as an additional cost, and it will be summoned as an 8 power, Elite earth minion."
"Annual Fair","Can this ability be activated multiple times per turn?","Yes, as long as you pay 1 mana for each time you wish to activate it."
"","If I pay to gain water affinity, does this count as a water site this turn?","No, activating this ability means the affinity is granted directly to you for the turn, not applied to the site."
"Apostles of Thamariel","If there are multiple Apostles of Thamariel in play, do I need to track which Apostles go with which Angels?","Yes!"
"Apprentice Wizard","There's a promotional version of this card with the name 'Apurrentice Wizard.' Since it has a different name, does that mean I can have four copies of each in my deck?","No, treat 'Apurrentice Wizard' as being named 'Apprentice Wizard' for all deck building and gameplay purposes."
"Aquamarine Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Aramos Mercenaries","Do you still need to meet threshold requirements when using its ability?","Yes, since you're still casting it (and not summoning it directly)."
"Arcade of Bones","What does 'can't be targeted or damaged by magic' mean?","Magic can't target the card and the card can't be damaged by Magic (even without targeting). The card can still be targeted by non-Magic effects."
"Archangel Gabriel","Does the chosen minion need to have the Spellcaster ability to cast the spell which they draw from this Genesis ability?","No, they gain the Spellcaster ability specifically for the purpose of casting that spell. See the rules for 'Only They Can Cast' for specific details."
"Archangel Michael","If Michael cannot take a step, does he still get to strike?","Yes, but you must declare a legal step if you can, using the normal lookahead rules described in 'Range of Motion.'"
"Archimago","When I cast one of the banished spells, is that placed back in the cemetery?","No. There's no way back from being banished, which overrides the part of resolution that would place the card in the cemetery."
"","When I use the Archimago's ability to banish 3 magic spells and cast 1, do I still have to pay mana and meet threshold?","Yes."
"","When using this ability, must the Archimago be the caster?","No, any of your spellcasters can cast the copied spell."
"","What happens if I pay the cost of banishing three spells, but I cannot actually cast any of those three?","If you cannot cast any of those three spells, they remain banished and nothing else happens. You did not cast a spell. (If you can cast one of the three, you must.)"
"","Can I use this ability to cast Valor or Dodge Roll?","No, because the Archimago's ability is an activated ability, which you can only use during your Main Phase when nothing is on the Storyline."
"Army of the Dead","If the Army moves through many locations (e.g. Grapple Shot, Seven-league Boots), does it leave many Skeletons behind?","Yes! Leave a Skeleton behind each time the Army enters a new location (or takes damage)."
"","If an effect grants this free movement (e.g. Arcade of Bones), can I spawn infinite Skeleton tokens?","No. Whenever you declare a movement path, you cannot repeat specific steps. Lets say we have sites arranged like this in a row, with Army of the Dead starting on site A, along with an [[Arcade of Bones]]:  You could declare the following movement path for the Army: A to B B to C C to B B to A None of those steps repeat exactly, so it's all perfectly legal, and you would spawn a Skeleton for each of those steps, for a total of 4 Skeletons spawned. You cannot, however, put another A to B step on the path, since that would be a repeat of the first step."
"Askelon Phoenix","What is 'fire damage' ?","'Fire damage' is any damage from a fire source, such as a fire minion (including strikes), a fire site, or a fire magic. Morgana le Fay casting Lightning Bolt is not fire damage, since Lightning Bolt is an air spell. Apprentice Wizard casting Firebolts is fire damage because Firebolts is a fire magic (and in fact would be 3 separate instances of fire damage). Anyone casting Grapple Shot that sends a minion into the Phoenix will look at the minion making the strike; if it's a fire minion, it's fire damage. If the Phoenix attacks and there are multiple defenders, each defending fire minion that strikes it counts as a separate source of fire damage."
"Assorted Animals","For purposes of cards that care about the mana cost of spells, what is the mana cost of a spell with X?","If you cast the spell, the mana cost is X. For example, if you cast it for 2 mana, then Immortal Throne would see it as a 2 cost spell. But, if you aren't casting the spell and it's simply in your hand, spellbook, etc., then X is 0 until you actually cast it."
"Atlantean Fate","If one of the sites it occupies is an Ordinary water site, are minions and artifacts there still submerged?","Yes. It's still affected by the aura, but that effect doesn't do anything to Ordinary sites, other than the Genesis ability."
"","Can you play Rift Valley into an area affected by Atlantean Fate?","Yes, since Atlantean Fate only affects the site once it's already in play, and Rift Valley modifies how it's played in the first place."
"Atlas Wanderers","What does 'normal size' mean?","Anything that occupies exactly 1 location."
"","Does this carry along oversized units or auras that occupy more than one square?","No."
"Avatar of Water","What does 'your body of water' mean?","The body of water (if any) that your Avatar currently occupies. If the Avatar isn't in any body of water, the ability won't function. (They're a fish out of water!)"
"","Can you choose an existing water site?","Yes."
"Awakened Mummies","Am I required to summon these units burrowed?","Yes. You can and you must."
"","Do they tap when they unburrow?","No."
"Backstab","Can I target my opponent's minion(s) with Backstab?","Yes (but remember the spellcaster must be in the same region as all the targets)."
"","If a minion has voidwalk and is in the void, could Backstab move it to an adjacent site to strike a tapped minion there?","No. Your spellcaster must target both minions (which are in different regions), but that's impossible since you pick a single location the spellcaster occupies for casting a spell. You can only target minions in the region where the spell is being cast. See '((Casting Spells))' for more details."
"Ball Lightning","Is the damage resolved one at a time, after each hit?","Yes! Resolve the damage (and any deathrites) from the first hit, then bounce for the second hit, resolving that damage, then bounce and resolve the third hit."
"","Can I hit the caster or other allies with this?","At the first location of the projectile's path, it cannot hit allies or the caster, even if it hits an enemy there first. If the Ball Lightning leaves the first location, it could bounce back and hit allies or the caster later in its path."
"","After bouncing off a unit, does the ball hit them again immediately since they are both at the same starting location?","No. But the ball can hit other units at that location after changing direction, bouncing back and forth."
